Emily Condic,University of Illinois,19:30.25,118.70
Anneliese Schulz,University of Illinois,19:30.33,118.68
Emma Burkhardt,University of Illinois,19:31.07,118.43
Allison Gibson,University of Illinois,20:22.50,101.29
Erin McKee,University of Illinois,21:22.94,81.14
Ellie Palacios,University of Illinois,21:47.14,73.07
Callie Rukavina,University of Illinois,22:25.69,60.22
Leah Ziolkowski,University of Illinois,22:33.73,57.54
Kaitlin Sumler,University of Illinois,22:38.99,55.79
Hannah Smith,University of Illinois,22:45.37,53.66
Megan Frintner,University of Illinois,23:15.20,43.72
Vicky Dent,University of Illinois,23:27.00,39.79
Mariela Marquez,University of Illinois,23:33.31,37.68
Veronica Deane,University of Illinois,24:15.09,23.76
