Emmanuel D'Agostino,Harvard University,16:35.00,184.07
Ben Griswold,Harvard University,18:20.00,149.07
Samartha Gupta,Harvard University,18:26.00,147.07
Andrew Yang,Harvard University,19:05.00,134.07
Michael Connors,Harvard University,19:07.00,133.41
Ryan Smith,Boston University,19:14.00,131.07
Joseph Winters,Harvard University,19:16.00,130.41
Robert Wirtz,Boston University,19:32.00,125.07
Daniel Kelly,Boston University,19:55.00,117.41
Alexander Oleinik,Boston University,20:02.00,115.07
Dakota Wyne,Boston University,24:33.00,24.74
Tyler Lecomer,Harvard University,25:08.00,13.07
Cameron Maltman,Harvard University,25:21.00,8.74
Nathan Weinberg,Boston University,25:37.00,3.41
Jayant Gopalan,Harvard University,26:56.00,-22.93
Wentao Xu,Harvard University,27:01.00,-24.59
