Lucy Hilarides,Purdue University,20:08.00,107.08
Lexi Slome,Washington University,20:42.00,95.74
Michaela Lewis,Purdue University,20:50.00,93.08
Emily Stava,Washington University,21:03.00,88.74
Miranda Gollwitzer,Purdue University,21:06.00,87.74
Natalie Baltierra,Loyola University Chicago,21:17.00,84.08
Taylor Rhoades,Loyola University Chicago,21:18.00,83.74
Sarah Taylor,Washington University,22:16.00,64.41
Reena Prabhu,Illinois State University,22:23.00,62.08
Allison Strong,Purdue University,22:40.00,56.41
Lydia Lyons,Washington University,23:01.00,49.41
Megan Brelage,Purdue University,23:03.00,48.74
Maddie Kennedy,Illinois State University,23:05.00,48.08
Haley Prokaski,Illinois State University,23:08.00,47.08
Nicole Howe,Purdue University,23:13.00,45.41
Anna Conboy,Illinois State University,23:24.00,41.74
Maggie Thompson,Loyola University Chicago,23:40.00,36.41
Mattie Waggoner,Purdue University,24:05.00,28.08
Emma Huff,Washington University,24:07.00,27.41
Ellie Pope,Saint Louis University,24:15.00,24.74
Abby Pearlman,Illinois State University,24:25.00,21.41
Brianna Tresemer,Illinois State University,24:33.00,18.74
Becca Andersen,Washington University,24:49.00,13.41
Sullibet Ramirez,Loyola University Chicago,25:09.00,6.74
Olivia Goebel,Purdue University,25:10.00,6.41
Kayla Zhang,Saint Louis University,25:19.00,3.41
Courtney Rubino,Illinois State University,25:32.00,-0.92
Natalia Boettcher,Washington University,25:50.00,-6.92
Jamilla Monegain,Loyola University Chicago,25:51.00,-7.26
Erin Kilbane,Loyola University Chicago,26:00.00,-10.26
Jessica Eberly,Illinois State University,26:01.00,-10.59
Lauren Lewis,Illinois State University,26:15.00,-15.26
Brianne Alman,Purdue University,26:18.00,-16.26
Olivia Ross,Illinois State University,26:43.00,-24.59
Annie Gregurich,Saint Louis University,27:29.00,-39.92
Esmeralda Mayorga,Illinois State University,27:37.00,-42.59
Emily Custer,Illinois State University,27:39.00,-43.26
Carly Aldridge,Illinois State University,27:46.00,-45.59
Alia Hamidi,Illinois State University,28:56.00,-68.92
Taylor Pohlman,Illinois State University,29:20.00,-76.92
Ansley Ostiguy,Loyola University Chicago,29:32.00,-80.92
Mary Rozny,Illinois State University,29:32.00,-80.92
Rachel Offenheiser,Illinois State University,30:13.00,-94.59
Taylor Allison,Illinois State University,30:58.00,-109.59
Danyell Cole,Illinois State University,31:57.00,-129.26
Ashley Wilson,Illinois State University,33:43.00,-164.59
Meghan Rose,Illinois State University,33:44.00,-164.92
