Ian Whittall,University of Pennsylvania,25:44.7,178.82
Daniel Wilcko,Pennsylvania State University,25:57.2,176.32
Eric Diestelow,Georgetown University,26:07.7,174.22
Andrew Sell,Pennsylvania State University,26:08.4,174.08
Zartosht Ahlers,Princeton University,26:11.8,173.40
Leif Fredericks,Princeton University,26:17.8,172.20
Christopher Hendry,University of Pennsylvania,26:18.4,172.08
Caleb Peckham,Princeton University,26:25.6,170.64
Gerry Angelatos,Princeton University,26:29.8,169.80
Samuel Lapp,Pennsylvania State University,26:36.0,168.56
Jigar Gosalia,Binghamton University,26:38.1,168.14
Liam Collins,Princeton University,26:39.7,167.82
John Lacy,Pennsylvania State University,26:40.2,167.72
Ian Iverson,Princeton University,26:41.2,167.52
Robert Brook,Georgetown University,26:43.5,167.06
Jacob Derlink,Pennsylvania State University,26:43.9,166.98
Patrick Briody,University of Connecticut,26:47.2,166.32
Geoffrey Mearns,University of Virginia,26:51.1,165.54
Jasper Suhr,Binghamton University,26:53.7,165.02
Kyle Heubner,University of Pennsylvania,27:00.5,163.66
John Fullam,St. John's University,27:05.2,162.72
Matthew Pennock,Pennsylvania State University,27:07.7,162.22
Samuel Masters,Pennsylvania State University,27:08.7,162.02
Raymond Friend,Pennsylvania State University,27:15.4,160.68
Zachary Malik,Binghamton University,27:19.7,159.82
Levi Upham,Pennsylvania State University,27:20.4,159.68
Aaron Seip,Pennsylvania State University,27:21.5,159.46
Clivensky Etienne,St. John's University,27:23.0,159.16
Mark Richter,Binghamton University,27:25.5,158.66
Matthew Balogh,Pennsylvania State University,27:27.9,158.18
Henry Wesley Burt,Princeton University,27:36.1,156.54
Christian Schreckhise,Pennsylvania State University,27:39.2,155.92
Timothy Cannata,University of Connecticut,27:40.8,155.60
Brandon Folio,University of Maryland - Baltimore County,27:42.8,155.20
Kevin Wegner,University of Maryland - Baltimore County,27:44.3,154.90
Bryan Moon,Pennsylvania State University,27:46.4,154.48
Anthony Ciro,University of Pennsylvania,27:55.5,152.66
Isaac Martinez,Princeton University,27:58.6,152.04
Kyle Loftus,Binghamton University,28:02.9,151.18
Benjamin Yang,Pennsylvania State University,28:04.2,150.92
Yeshwant Chillakuru,George Washington University,28:06.4,150.48
William Nolan,Princeton University,28:08.3,150.10
Daniel Adrion,Binghamton University,28:09.4,149.88
Wyatt Kline,Pennsylvania State University,28:11.9,149.38
Andrew Suter,University of Connecticut,28:15.6,148.64
Connor Fitzpatrick,Binghamton University,28:17.4,148.28
Andrew Murphy,Pennsylvania State University,28:18.1,148.14
Yosef Robele,University of Pennsylvania,28:21.6,147.44
Ellis Guzewich,George Washington University,28:26.5,146.46
Michael Mullaney,Georgetown University,28:26.9,146.38
Jeff Wu,Princeton University,28:27.5,146.26
Alex Curtze,Pennsylvania State University,28:28.0,146.16
Cornell Overfield,University of Pennsylvania,28:29.0,145.96
Ryan DeGregorio,Rutgers University,28:32.2,145.32
Patrick Soltis,Georgetown University,28:34.9,144.78
Devon Aldave,University of Connecticut,28:41.9,143.38
Ben Connelly,University of Virginia,28:44.0,142.96
Matthew DeLeon,University of Connecticut,28:47.6,142.24
Jason Verna,Pennsylvania State University,28:50.8,141.60
Dylan Mariuzza,Cornell University,28:58.4,140.08
Bailey Klein,Pennsylvania State University,28:58.9,139.98
Michael Kelly,George Washington University,29:02.2,139.32
Adam Creveling,Pennsylvania State University,29:03.7,139.02
Luke Nigro,Pennsylvania State University,29:06.9,138.38
Collin McGloin,Binghamton University,29:07.6,138.24
Luke Curran,Georgetown University,29:10.5,137.66
Tj Herman,Rutgers University,29:12.0,137.36
John Quinlisk,Pennsylvania State University,29:15.3,136.70
Luke Michels,Pennsylvania State University,29:20.5,135.66
Zachary Herrmann,Harvard University,29:24.7,134.82
Harry Prevor,University of Pennsylvania,29:25.9,134.58
Tom Kersting,University of Maryland - Baltimore County,29:28.5,134.06
Jeremy Canfield,Georgetown University,29:29.6,133.84
Dawit Tegegn,University of Maryland - Baltimore County,29:30.1,133.74
Steven Ignatowich,University of Connecticut,29:31.2,133.52
Juan Guzman,Binghamton University,29:32.6,133.24
Juan Luis Garzon Hervas,George Mason University,29:34.1,132.94
