Mary Lynch,University of Virginia,18:03.00,128.11
Alexa Phillips,University of North Carolina,18:04.00,127.77
Bridgette Sullivan,University of North Carolina,18:05.00,127.44
Katelyn McCracken,Duke University,18:17.00,123.44
Ashley Smith,University of North Carolina,18:21.00,122.11
Caroline Jennings,University of North Carolina,18:24.00,121.11
Tasha Regan,University of North Carolina,18:39.00,116.11
Rosa-Marie Compton,Clemson University,18:45.00,114.11
Aly Chura,University of North Carolina,18:48.00,113.11
Patricia Callison,University of North Carolina,19:02.00,108.44
Sydney Gilstrap,Clemson University,19:04.00,107.77
Grace Chang,Duke University,19:08.00,106.44
Kathryn Howley,Duke University,19:21.00,102.11
Savannah Lips,University of North Carolina,19:23.00,101.44
Abigail West,University of Georgia,19:27.00,100.11
Lindsey Govan,University of North Carolina,19:35.00,97.44
Emily Waples,Duke University,19:36.00,97.11
Rebecca Pearson,University of Virginia,19:41.00,95.44
Bella Vice-Van Heyde,University of Virginia,19:46.00,93.77
Nora Barnes-Horowitz,University of Virginia,19:48.00,93.11
Blaise Sevier,University of Virginia,19:56.00,90.44
Barbara Zhao,Duke University,20:12.00,85.11
Megan Perkins,University of North Carolina,20:13.00,84.77
Lauren Dicktel,University of North Carolina,20:14.00,84.44
Wren Ballou,University of Georgia,20:15.00,84.11
Ayla Gizlice,University of North Carolina,20:15.00,84.11
Kate Goldenring,University of North Carolina,20:16.00,83.77
Rachel Dveirin,Duke University,20:17.00,83.44
Karen Young,Duke University,20:17.00,83.44
Avery Wilson,University of North Carolina,20:18.00,83.11
Daria Yoder,Clemson University,20:24.00,81.11
Julia Siegel,University of Virginia,20:27.00,80.11
Summer Chambers,University of Virginia,20:28.00,79.77
Ashley Meuser,Duke University,20:32.00,78.44
Kendall Laveen,University of Georgia,20:40.00,75.77
Elizabeth Franck,University of Virginia,20:51.00,72.11
Reagan Portelance,Duke University,20:55.00,70.77
Mary Lee Lawrence,Duke University,20:57.00,70.11
Ansley Hardin,University of Georgia,20:58.00,69.77
Paige Sheehan,University of Georgia,21:00.00,69.11
Amelia Lennard,University of North Carolina,21:01.00,68.77
Jordan Mareno,University of North Carolina,21:01.00,68.77
Sarah Wotus,University of North Carolina,21:02.00,68.44
Breana Jenkins,University of North Carolina,21:07.00,66.77
Caroline Keough,University of North Carolina,21:11.00,65.44
Christina Quigley,University of North Carolina,21:18.00,63.11
Alyssa Rucker,Duke University,21:25.00,60.77
Aninda Manocha,Duke University,21:29.00,59.44
Sarah Bigelow,University of North Carolina,21:29.00,59.44
Ellie Pearson,University of North Carolina,21:31.00,58.77
Kasey Skinner,University of North Carolina,21:32.00,58.44
Carly Jenison,University of Virginia,21:33.00,58.11
Keelyn McCabe,University of Virginia,21:34.00,57.77
Mary Anna Adams,University of Virginia,21:37.00,56.77
Abbigayle Mathis,University of Georgia,21:38.00,56.44
Brianne Vasarhelyi,University of North Carolina,21:39.00,56.11
Savannah Dupree,University of North Carolina,21:42.00,55.11
Lucy Shoemaker,University of Georgia,21:43.00,54.77
Katie Kennedy,University of North Carolina,21:44.00,54.44
McKenzie Peterson,University of Georgia,21:46.00,53.77
Katie Hart,University of Georgia,21:49.00,52.77
Jade Nielson,University of Georgia,21:50.00,52.44
Emma Verdi,University of North Carolina,21:51.00,52.11
Julia Sanders,University of Georgia,21:53.00,51.44
Nicole Larson,University of Georgia,22:03.00,48.11
Emily Mercer,University of North Carolina,22:08.00,46.44
Emilee Armstrong,University of North Carolina,22:22.00,41.77
Danielle King,University of Georgia,22:24.00,41.11
Lizzie Zelter,Duke University,22:27.00,40.11
Grace Andritsch,University of Georgia,22:35.00,37.44
Cameron Lloyd,University of Virginia,23:04.00,27.77
Kelly Ryder,Duke University,23:08.00,26.44
Mary Gates Pierce,University of North Carolina,23:10.00,25.77
Jennifer Craft,University of North Carolina,23:12.00,25.11
Kelly Spaine,University of Virginia,23:13.00,24.77
Katelyn Merendino,University of North Carolina,23:14.00,24.44
Jenny Du,Duke University,23:20.00,22.44
Rishika Ready,University of North Carolina,23:23.00,21.44
Ali LoPiccolo,University of Georgia,23:24.00,21.11
Emma Ehrhardt,University of North Carolina,23:28.00,19.77
Emily Barron,University of North Carolina,23:44.00,14.44
Megan Sullivan,University of North Carolina,23:45.00,14.11
JaNae Holloway,University of Georgia,23:47.00,13.44
Hillary Waters,University of Georgia,23:49.00,12.77
Brittany Crow,University of Virginia,23:53.00,11.44
Rachel Joyner,University of North Carolina,23:59.00,9.44
Alethea Toh,Duke University,24:08.00,6.44
Michelle Chen,Duke University,24:12.00,5.11
Josie Dangler,University of North Carolina,24:15.00,4.11
Rachel Grotheer,University of North Carolina,24:16.00,3.77
Kat Heffner,University of North Carolina,24:16.00,3.77
Sierra Hale,University of Georgia,24:24.00,1.11
Alex Maldanado,University of North Carolina,24:26.00,0.44
Jessica Blanks,University of North Carolina,24:41.00,-4.56
Mira Cothran,University of Georgia,24:50.00,-7.56
Maiya Peterson,University of North Carolina,24:52.00,-8.23
Amanda Drabble,University of North Carolina,25:14.00,-15.56
Amanda Tysor,University of Georgia,25:53.00,-28.56
Abby Palazzo,University of Georgia,25:54.00,-28.89
Madison Schroder,University of North Carolina,25:56.00,-29.56
Sarah Modlin,University of North Carolina,26:01.00,-31.23
Anna Stewart,University of Georgia,26:17.00,-36.56
Raphaela Aleman,University of Georgia,26:36.00,-42.89
Jeainny Kim,Duke University,27:12.00,-54.89
Gianna Alfonso,Clemson University,27:37.00,-63.23
Mary Sutton,University of Georgia,27:41.00,-64.56
